"id","naslov","labela","podtip","napomena"
"sportklub_ed56704563","Anketa DPA: Nemcima nije do fudbala sa SP posle ponoći","","",""
"sportklub_6d1735a637","(VIDEO) Drama u penal seriji: CSKA osvojio Kup Bugarske","","",""
"sportklub_1261577f0f","Janakopulosu gori, a Željku?","","",""
"sportklub_ae773cb591","Dalićev konačni spisak za nastup Hrvatske na Mundijalu","","",""
"sportklub_70902521f7","Ovako će Zvezda isplaćivati Ibona: Objavljeni detalji dogovora","","",""
"sportklub_fcb0984d58","Albanija ima novog selektora","","",""
"sportklub_a316dab5fc","Nikitović: Incident? To je deo sporta i igre…","","",""
"sportklub_b2b14f8db1","Radonjić propustio meč loptu, odluka u Kazanju","","",""
"sportklub_66c6d63564","Đoković se zadržao na četvrtom mestu ATP liste","","",""
"sportklub_86b9b05cb4","Bošković menja Jovančevića u štafeti 4 x 100 metara","","",""
"sportklub_2efc4bb2c5","Predizborno obećanje: Jirgen Klop na klupi Reala!","","",""
"sportklub_8726124eca","Slovenac MVP finalnog turnira Lige šampiona","","",""
"sportklub_b7b47a10aa","Nema straha od Dubaija: Jako i hrabro do brejka u Zenici","","",""
"sportklub_bf5d359e14","Alkaras: Ne želim da se pretvorim u roba tenisu","","",""
"sportklub_6ff093b875","NCAA spušta rampu za igrače iz Evrolige?","","",""
"sportklub_1f1343f287","Florentinu Perezu stigao odgovor od Barselone","","",""
"sportklub_ad14d06504","Gudurićeva dirljiva poruka Veselom: Brate moj…","","",""
"sportklub_317e5508fa","Preminuo mladi fudbaler Sloge Milan Radulović","","",""
"sportklub_759dc0d7f4","Bakić osvojio srebro u Laškom, Tajland je sve bliži…","","",""
"sportklub_9c17d0c68b","Njujork na pola puta do finala, Klivlend pao i drugi put","","",""
"sportklub_763feadbec","(VIDEO) Vezenkov pogodio sa pola terena, Milutinov van tima","","",""
"sportklub_0ece59a738","Akosta za SK: Mnogo još posla imamo","","",""
"sportklub_1ff0a88fc9","Bode je zaboravljen: Kristijan Kivu dobija novi ugovor","","",""
"sportklub_a0e9b8dce8","Crvena zvezda ima novog trenera!","","",""
"sportklub_f4a2d89dde","Mesi u trci sa vremenom: Neće biti potpuno spreman","","",""
"sportklub_822afe7b40","Muratoglu: Potvrđena ahilova peta Janika Sinera","","",""
"sportklub_e1ea963e79","(VIDEO) Šejev povratak u velikom stilu, OKC izjednačio","","",""
"sportklub_b1c4679534","Pogledajte kako su igrači Arsenala dočekali trenutak krunisanja","","",""
"sportklub_d95b8563d2","(VIDEO) Vembanjama uništio Minesotu","","",""
"sportklub_d4397c3440","Tinejdžer upucan tokom „slavlja“ navijača Njujork Niksa","","",""
"sportklub_8e8f1e260a","Vratio se: Dominacija Markesa u Balatonu","","",""
"sportklub_92fad67965","Krunić na ceremoniji: Planirate li da završite karijeru?","","",""
"sportklub_4b820ac845","Došao je kraj: Real se zahvalio iskusnom defanzivcu","","",""
"sportklub_67a464974c","Džered Batler: Velikim delom krivica je moja","","",""
"sportklub_9f3919aea1","Iranci stigli u Meksiko, imali specijalnu poruku upućenu domaćinu","","",""
"sportklub_d4623f17db","Andrejeva: Ne slušam šta Ukrajinke pričaju o nama","","",""
"sportklub_cebbccdfc4","Dimitrijević – opet ništa od dolaska u Partizan","","",""
"sportklub_3979817d84","Holand čestitao Arsenalu na tituli","","",""
"sportklub_fb418b7a77","Srcolomac Maeda: Seltik u finišu preoteo titulu i završio bajku!","","",""
"sportklub_d0e120449f","Beker i Kurijer veruju da Đoković može da osvoji Vimbldon","","",""
"sportklub_e1dfd73bc6","Niksi deluju nezaustavljivo – Još pobeda do finala!","","",""
"sportklub_ace0b5d291","Kuman saopštio spisak Holanđana, bez dve velike zvezde","","",""
