"id","naslov","labela","podtip"
"sportklub_9b116b6b8b","Potvrđeno: Real će igrati Evroligu","0",""
"sportklub_04839ca5bd","Četiri jeftina pojačanja za Denver Nagetse","0",""
"sportklub_50325091f1","Murinjo i Benfika bez poraza, ali i bez Lige šampiona","0",""
"sportklub_359e65dc7f","Pešić krenuo ka tronu, Obst „terorisao“ Albu","1",""
"sportklub_2d180442ac","Poseban vid frustracije: Zbog izgubljenog poena skinuo šorc (?!)","1",""
"sportklub_c6500ac92d","Hezonja u crveno-belom? Grci otkrili istinu o šokantnom transferu","1",""
"sportklub_596e8b1665","Iskra blistala u Zagrebu, napreduje iz dana u dan…","1",""
"sportklub_c260387242","Trejd godine: Rekorder NFL je novo „lice“ odbrane Remsa","1",""
"sportklub_d983103b32","Dalićev širi spisak za SP; Beljo, Stojković i Majer na pretpozivu","0",""
"sportklub_da58e3382c","Raspored Super lige: Zvezda čeka Partizan 5. septembra","0",""
"sportklub_d26398ec77","Ozmo bodri Aleks i Danilinu: Veliki uspeh, titula će sigurno doći","0",""
"sportklub_a5a3f62e8f","Junajted potvrdio: Kerik na klupi do 2028. godine","0",""
"sportklub_3161c4d9f2","Partizanu se ne ide u Dubai, poznati termini ABA finala","0",""
"sportklub_5f72b07ec5","Marsej slavi Miloša Šćepanovića, ništa od fešte u Splitu!","1",""
"sportklub_25e7e1e379","Još dva koraka za Zvereva","0",""
"sportklub_05dce51158","Seniorke naredne sedmice u Đenovi, u pogonu 23 igračice","0",""
"sportklub_abd1278c84","(VIDEO) Kurasao vodio na Hempdenu, ali na kraju loše prošao","1",""
"sportklub_196ff285a4","Navijači tvrde da je Hodar gurnuo devojčicu, on oštro demantuje","0",""
"sportklub_7e4576bba6","Otkrivena plata Saše Obradovića: „Ponuda koja se ne odbija“","1",""
"sportklub_1767c25911","Šta će reći kum: Terzić detaljno o rekonstrukciji Marakane","1",""
"sportklub_81c7b7fc57","Novi udarac za Vest Hem… Čekaju ponedeljak i navijaju za Čelsi","0",""
"sportklub_65fe4248cc","Ferari poslao jaku poruku u Monte Karlu","0",""
"sportklub_5f72177145","Bajern doveo prvo veliko pojačanje","1",""
"sportklub_f5e8f04088","Traju muke fudbalera: Kazahstan bolji od Srbije","1",""
"sportklub_975e35ca46","Adriana Vilagoš treća u Oslu","0",""
"sportklub_f15cdc7215","Fudbaler Arsenala se nije oporavio, ne ide na Svetsko prvenstvo","1",""
"sportklub_c47ce7dae2","Sedmica za istoriju: Nemačka na vrhu preskočila Brazil","1",""
"sportklub_52f99fe39d","(VIDEO) Čanak proključao i izvređao sudije!","1",""
"sportklub_07e30c4679","„Radar“: 182.000.000€ za dva plej-in poraza i dve plej-of pobede!","0",""
"sportklub_4b569685c2","SP 2026: Počinje istorijsko Svetsko prvenstvo u fudbalu!","1",""
"sportklub_e89b7d82fc","Kinjones: Srećan sam i uzbuđen zbog svog prvog gola na SP","0",""
"sportklub_b7b6fd7cef","Prijateljske: Šestica Brazila, Undav Nagelsmanov kec iz rukava","1",""
"sportklub_b72c1afebb","Ponos radničkog Valjekasa u Lajpcigu piše istoriju","1",""
"sportklub_702f9a994e","Oklahoma Siti bez bitnog aduta za sedmu utakmicu","1",""
"sportklub_34ffbbaf56","Petrušev: Bolje da ne pričam…","1",""
"sportklub_3029f9e11c","Više nije tajna: Olimpijakos sa Kodijem brani evropski tron","0",""
"sportklub_edd882cbb2","(VIDEO) Drama za kraj: Dva penala i crveni karton za Holandiju","1",""
"sportklub_91a14b1d8a","Radovan Ćurčić na klupi superligaša","0",""
"sportklub_2bc150826d","Olimpijakos je prvak Evrope! Kletva razbijena na omraženom mestu","1",""
"sportklub_21b0fc6f28","Krunić i Danilina u polufinalu Rolan Garosa","0",""
"sportklub_2ad9e15186","Od trojice – ostao jedan: Kraj i za Međedovića na Rolan Garosu","1",""
"sportklub_408ced6fdc","Rade piše: Letnji trening od „drila“ do „mini-bojlera“","1",""
"sportklub_d45a7e38ce","Odbio medalju: Ronaldo otišao u tunel posle poraza","1",""
"sportklub_4af5c12a39","Zašto Partizan nije hteo heroja BiH? Znate kako to kod nas ide…","1",""
"sportklub_f31c64a2f2","ABA i Dubai održali hitan sastanak, odluka je promenjena!","1",""
"sportklub_ded62e34a4","(VIDEO) Navijači Zvezde se raspevali: Prvo Vućić, pa uprava!","1",""
"sportklub_91203f42ab","Karlik Džons i metla: „Pecnuo“ Zvezdu na instagramu","1",""
"sportklub_676997503a","„Nemate nijednog Grka…“ Ataman navijačima Olimpijakosa","1",""
"sportklub_512deddef9","Sjajna nedelja za srpski tenis: I Kecmanović osvojio trofej!","0",""
"sportklub_32baa87abd","Janis je u izlogu, Baksi su spremni za trejd","0",""
"sportklub_f368466b5f","VIDEO: Lakrdija u Nišu, „sklanjalica“ do rezultata 19:0!","1",""
"sportklub_762bfd553f","Poslednje kolo PL: Ko će u koje UEFA takmičenje, a ko ispada?","0",""
"sportklub_6776b11fa0","Zvezdina suspenzija i još ponešto: Laž ovde i dalje prolazi!","1",""
"sportklub_3151a14c66","Šeici planiraju veliki projekat: Dubai želi u Novi Sad!","1",""
"sportklub_bd83ca5174","Kraljevski: Princ Vilijam uz pivo proslavio sa igračima Vile","1",""
"sportklub_f1323dc027","Transfermarkt: Vrednost tima Zvezde 117,6 miliona evra","0",""
"sportklub_2f05f9deaa","Serena (44) o povratku: Bilo mi je dosadno, a deca na raspustu…","1",""
"sportklub_2ad3add409","Obradović govorio veoma kratko posle poraza u Ljubljani","0",""
"sportklub_2090d1c72e","Italijani otkrili otkud nagli preokret Saše Đorđevića za Tursku","1",""
"sportklub_cf3c2068e9","Ovo je 10 igrača u Premijer ligi kojima je najviše pala cena","1",""
"sportklub_6baba01cff","20 minuta, ne smete ništa: S Novakom na treningu, kao…","1",""
"sportklub_d641e92f18","Oklahoma „pometlala“ Lejkerse, Lebron i ekipa mogu na odmor","1",""
"sportklub_b5363ee0ff","Čekamo Vimbldon: Pokazaće Đoković da nije za penziju","1",""
"sportklub_5cf122e485","Promene u FSS: Crveno svetlo sudijama starijim od 46 godina","0",""
"sportklub_9c291b5660","Nekadašnji trener Zvezde našao posao u Nemačkoj","0",""
"sportklub_9d95621c9e","Vinisijus: Ovde smo da postanemo šampioni, Karlo unosi mir","0",""
"sportklub_8e158eae78","Ishod pregleda: Zarko će morati da čeka na operaciju kolena","0",""
"sportklub_be66a2f6fb","Siner: Nije bilo toliko toplo, nikad se ovako slabo nisam osećao","0",""
"sportklub_13b75c650e","Čudesan preokret: Valensija slomila Bilbao!","1",""
"sportklub_0ffacc341e","(VIDEO) Ovo se čekalo: Oglasio se Janakopulos! Priča sa mačkom…","1",""
"sportklub_2e02944afd","Deni Avdija sprečen igra za Izrael? Rat iziskuje posebnu dozvolu","1",""
"sportklub_fe8401f011","Aleksandra Krunić i Ana Danilina opet u finalu RG!","0",""
"sportklub_bfb8c147d0","Terzićevih 30 za Ligu nacija: Na spisku i Maja i Tijana","0",""
"sportklub_0e72ec3fd5","Uraganski preokret ostavio Karolinu u životu","1",""
"sportklub_57925cc88c","Branko Lazić otkrio: Čuo sam da me je Dule baš želeo u Partizanu","1",""
"sportklub_eb345b40a6","„One“: Menadžer tužio Vasu Micića, traži malo bogatstvo","1",""
"sportklub_be807cd355","Problem više za večite: Dubai se vraća u Koka-kola arenu","0",""
"sportklub_08126802ad","Mančester junajted se zahvalio Kazemiru, ali i obradovao navijače","0",""
"sportklub_7d5c676e14","„Iraola bi mogao da ubedi Nika Vilijamsa da dođe u Liverpul“","1",""
"sportklub_3add3a5720","(VIDEO) Samo napadni Džejmsa Hardena i miran si: To nije tajna","1",""
"sportklub_9ea387d940","Golden najtsi u finalu Zapada, Montreal na korak od finala Istoka","1",""
"sportklub_0263639981","Iva furija pričala o egu: Šta, napali su mene, šta pričate?","1",""
"sportklub_ccb2cbe97a","Cvjetićanin pred revanš: Umalo nisam dobio srčani udar, a sada…","1",""
"sportklub_c9509791c2","Kome je Tajrik posvetio pehar? „Znamo šta se dogodilo ove sezone“","1",""
"sportklub_7f00bb1414","(VIDEO) Zvuči blesavo ali – rođendan na RG dobar adut za Novaka?","1",""
"sportklub_2c25608d08","Ovaj Garos je lud: Igrali su ljudi šest sati!","1",""
"sportklub_9433ae2261","Trenutna inspiracija i ostavka Gorana Jezdića","0",""
"sportklub_d65ee1a349","Kvarachelija najbolji igrač Lige šampiona!","1",""
"sportklub_de62390f8a","FIFA suspendovala Nišlije zbog Bugarina","0",""
"sportklub_2f86e8b47e","Pamte li navijači pretnju bojkotom? Žalgiris „blindirao“ Tubelisa","1",""
"sportklub_c9afadf09f","Kodi analizira zašto je sve pošlo po zlu ove sezone","1",""
"sportklub_2d21035f92","Krunić: Da sam dobio poziv Srbije, nikada ne bih igrao za BiH","1",""
"sportklub_c0c437d10a","SK u svlačionici Reala: Ljulj zna put, a šta očekuje Maledon?","1",""
"sportklub_49d816eef0","Vreme krunisanja: Spektakularni ili „dosadni“, pitanje je sad!","1",""
"sportklub_6842238315","Nikad se nije desilo u istoriji tenisa, hoće li sad na Garosu?","1",""
"sportklub_3726645511","Nedović zapažen u pobedi, Džejms nastavlja bojkot Monaka","0",""
"sportklub_6a19d78ed8","Španija bez Jamala na otvaranju Svetskog prvenstva","0",""
"sportklub_09c6bc5090","(FOTO) Posle deset godina, Ana Ivanović na Rolan Garosu!","0",""
"sportklub_2029fe8ff9","Trenutak da Milan Tomić pokaže može li da promeni Crvenu zvezdu","1",""
"sportklub_cbab3e5d75","Mikulić doneo drugu medalju Crnoj Gori u Frankfurtu","0",""
"sportklub_997bb4975c","Oglasio se Eriksen: Ovo je drugačije nego pre pet godina","1",""
"sportklub_d2acffecc1","Senzacija u Hamburgu: Novo ime odzvanja svetom tenisa!","1",""
"sportklub_68c69e6978","Arteta o tituli: Jedan od najlepših osećaja ikada","0",""
"sportklub_05ee891126","Novi krah Danila Medvedeva","1",""
"sportklub_1d78aed525","Kompletan idiot, stalno se žali, moron.. Dnevnik jednog selektora","1",""
"sportklub_35e81b9d6f","El Pais: Pogubljena Srbija, sama sebi dala dva gola","1",""
"sportklub_a89023d173","Viktor Vembanjama poručuje – nećete me opet navući","1",""
"sportklub_0428764e81","Mijatović: Vučića sam upoznao kad sam došao u Partizan","0",""
"sportklub_c6a8c784a4","San ili nova noćna mora: Gladne mlade zveri oko Saše Zvereva","1",""
"sportklub_97007bf954","Ibra i Anri zapevali uglas „I’m from Bosnia, take me to America“","0",""
"sportklub_a9115ebe70","Sada su mnogo slabiji: BiH dolazi u Srbiju bez najveće zvezde","1",""
"sportklub_3faf4ec831","Velike promene u Evrokupu, uz dva garantovana mesta ka Evroligi?","1",""
"sportklub_79b207d79d","Dejan Stanković o poseti Kragujevcu: Nikakva druga pozadina…","1",""
"sportklub_3a35cdd3b6","Ekskluzivno: Hvataće se za glavu, ali Navaro – pun pogodak Zvezde","1",""
"sportklub_84248bbae8","Mašina: Siner izjednačio Đokovićev rekord!","1",""
"sportklub_4ec6ac0b6e","Panata: Za Sinera je samo jedan rekord skoro nemoguć","1",""
"sportklub_153fcadfa4","Partizan saopštio: Poznato gde će se igrati finale ABA lige","1",""
"sportklub_41693b144d","„Iznenađen i uvređen“: Megvajer saznao da ne ide na Mundijal!","1",""
"sportklub_40ccf8e641","Nemačka dobila ogromno pojačanje za Mundijal!","1",""
"sportklub_95be24966a","Plej-aut: Najteži zadatak za TSC, Lučancima ni pobeda nije garant","1",""
"sportklub_16f973df6f","„Plasman u Evropu – najbolji način da odem iz Bornmuta“","0",""
"sportklub_2a22b5dbcb","Emotivni Krecu: Ove utakmice su posvećene i momcima…","1",""
"sportklub_b2722ed2d7","Odigrana utakmica na dan rođenja velikog Momčila Moce Vukotića","0",""
"sportklub_2f06ba0d11","Bivši vicešampion: Kako je igrao, Novak je jedan od favorita na W","1",""
"sportklub_ac4ea5392b","Gde su to Bogdan i Novak? Ovu priliku ne propuštaju (VIDEO)","1",""
"sportklub_4345555ce9","(VIDEO) Da li je ovo bila odbrana za opstanak u PL?","1",""
"sportklub_6a3f18e6aa","Vreme je: Tri finala Aleksandera Zvereva","1",""
"sportklub_0fa922fe7c","Domović – Bulut pokrenuo projekat za popularizaciju basketa 3×3","0",""
"sportklub_0a5127f781","The Show Must Go On, ali mora li i Moto GP po svaku cenu?","1",""
"sportklub_277c7ddcf1","Udar na Kanadu: Striperi u štrajku tokom trke Formule 1!","1",""
"sportklub_046b56bf13","Učio tenis na Zvezdari a danas na RG igra protiv Đokovića","1",""
"sportklub_1bbd51d1f7","Alison sačuvao Brazil, prva pobeda Škotske na SP od 1990.","0",""
"sportklub_3deae8c459","Kad je žreb za baraž i ko je na putu Srbiji ka Mundijalu?","1",""
"sportklub_5c8ea1642e","Bura u Madridu: Sudije su nam oduzele 12. titulu","1",""
"sportklub_85112962ab","Bolje sprečiti nego lečiti: U Parizu privedeno 35 navijača","0",""
"sportklub_2ff25374b5","Pre dve nedelje pobedio Novaka u Rimu, a sada najbrži u Parizu","1",""
"sportklub_ef7df2d960","Neverovatni Stojačić srušio olimpijske šampione!","0",""
"sportklub_fc28e3fc62","Novak o ljudima koji čekaju da vide pojas Presvete Bogorodice","0",""
"sportklub_3ebf640b93","„Studenti pobeđuju“ uživo na „Eurosportu“: Điro u bojama Srbije!","0",""
"sportklub_c9d3c95c83","(VIDEO) Sramota i na kraju: Tuča igrača Zvezde i Vojvodine","1",""
"sportklub_6b2353745e","Vilagoš na mitingu Dijamantske lige u Oslu","0",""
"sportklub_e257c5083c","Atletiko udario na Romana: Karte za koncert i semenke za Jamala","1",""
"sportklub_53ce69c753","Ivan Kurtušić u Slaviji: Česi gledaju ka Balkanu","0",""
"sportklub_fecf133c30","(VIDEO) Čekali su 20 godina: Karolina osvojila Stenli kup!","1",""
"sportklub_f57cad90be","Štimac: Koliko puta petokraka mora biti poražena da bi nestala?","1",""
"sportklub_0c3abff89a","Urugvajci satima zarobljeni na aerodromu, veliki propust FIFA","1",""
"sportklub_24a0e7a514","Finale Lige Evrope u Surčinu? Macut dao saglasnost…","1",""
"sportklub_b3ec6f1b55","Rolan Garos – Otvoreno prvenstvo istočne Evrope!","0",""
"sportklub_5655e6425c","Branson vodio Nikse do brejka u San Antoniju","0",""
"sportklub_0f2d754800","(VIDEO) Evrogol Amerikanca nije zaustavio Pancere","1",""
"sportklub_1ea9e10d6a","Fonseka pred Đokovića: San, igraću protiv najboljeg svih vremena","1",""
"sportklub_43bf284bc9","Dinamov gorostas završio karijeru u 32. godini","0",""
"sportklub_e756f205a4","Florentino Peres: Treba nam dobar trener, Murinjo je vrlo dobar","0",""
"sportklub_529d125d4f","Arteta je menadžer sezone u Premijer ligi","0",""
"sportklub_62543fcc38","„Kuva“ na tribinama: Baklje, uvrede i studenti pobeđuju!","1",""
"sportklub_7d7298af04","Pep: Što se Premijer liga manje meša u odluke, to je svima bolje","1",""
"sportklub_5e8dbccfe4","Partizan u kontaktu sa četvrtim najboljim strelcem Evrolige","1",""
"sportklub_6d7cb6e678","Jedan od najboljih centara sveta treći put u Radničkom","1",""
"sportklub_7bd0c3f8df","Bekam više nije milioner, sad je milijarder i britanski rekorder","0",""
"sportklub_6c93d24ee2","Tekst francuskog pisca o Novaku: Čoveče kog smo voleli da mrzimo","1",""
"sportklub_af305d2eec","Senzacija: Real ispao, Tenerife protiv Barse za finale","1",""
"sportklub_c082392b78","„Ujedinili smo BiH, želimo da pokažemo pravo lice naše zemlje“","1",""
"sportklub_589f88103b","Izjava dana: Igra sve manje voli navijače","1",""
"sportklub_95b220a376","Spartak: Otišli Milunović, Bešić, Holender… Zna se i ko ostaje","1",""
"sportklub_16ab50f730","(VIDEO) Umalo tragedija u Debrecinu: Pad kamere nadomak čoveka","1",""
"sportklub_fa33b72438","Muslin: Od titule na Novom Zelandu korist su imali samo menadžeri","1",""
