"izvor","id","naslov","razlog"
"filip_glavna","sportklub_2d180442ac","Poseban vid frustracije: Zbog izgubljenog poena skinuo šorc (?!)","heuristika"
"filip_glavna","sportklub_c6500ac92d","Hezonja u crveno-belom? Grci otkrili istinu o šokantnom transferu","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_5f72b07ec5","Marsej slavi Miloša Šćepanovića, ništa od fešte u Splitu!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_1767c25911","Šta će reći kum: Terzić detaljno o rekonstrukciji Marakane","neslaganje: Danilo=0"
"filip_glavna","sportklub_f5e8f04088","Traju muke fudbalera: Kazahstan bolji od Srbije","neslaganje: Danilo=0"
"filip_glavna","sportklub_c47ce7dae2","Sedmica za istoriju: Nemačka na vrhu preskočila Brazil","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_52f99fe39d","(VIDEO) Čanak proključao i izvređao sudije!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_4b569685c2","SP 2026: Počinje istorijsko Svetsko prvenstvo u fudbalu!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_b7b6fd7cef","Prijateljske: Šestica Brazila, Undav Nagelsmanov kec iz rukava","neslaganje: Danilo=0"
"filip_glavna","sportklub_b72c1afebb","Ponos radničkog Valjekasa u Lajpcigu piše istoriju","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_edd882cbb2","(VIDEO) Drama za kraj: Dva penala i crveni karton za Holandiju","heuristika"
"filip_glavna","sportklub_2bc150826d","Olimpijakos je prvak Evrope! Kletva razbijena na omraženom mestu","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_d45a7e38ce","Odbio medalju: Ronaldo otišao u tunel posle poraza","neslaganje: Danilo=0"
"filip_glavna","sportklub_ded62e34a4","(VIDEO) Navijači Zvezde se raspevali: Prvo Vućić, pa uprava!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_f368466b5f","VIDEO: Lakrdija u Nišu, „sklanjalica“ do rezultata 19:0!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_6776b11fa0","Zvezdina suspenzija i još ponešto: Laž ovde i dalje prolazi!","heuristika"
"filip_glavna","sportklub_3151a14c66","Šeici planiraju veliki projekat: Dubai želi u Novi Sad!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_bd83ca5174","Kraljevski: Princ Vilijam uz pivo proslavio sa igračima Vile","neslaganje: Danilo=0"
"filip_glavna","sportklub_2090d1c72e","Italijani otkrili otkud nagli preokret Saše Đorđevića za Tursku","heuristika"
"filip_glavna","sportklub_d641e92f18","Oklahoma „pometlala“ Lejkerse, Lebron i ekipa mogu na odmor","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_b5363ee0ff","Čekamo Vimbldon: Pokazaće Đoković da nije za penziju","neslaganje: Danilo=0"
"filip_glavna","sportklub_13b75c650e","Čudesan preokret: Valensija slomila Bilbao!","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_2e02944afd","Deni Avdija sprečen igra za Izrael? Rat iziskuje posebnu dozvolu","neslaganje: Danilo=0"
"filip_glavna","sportklub_0e72ec3fd5","Uraganski preokret ostavio Karolinu u životu","neslaganje: Danilo=0; heuristika"
"filip_glavna","sportklub_57925cc88c","Branko Lazić otkrio: Čuo sam da me je Dule baš želeo u Partizanu","neslaganje: Danilo=0"
"filip_glavna","sportklub_7d5c676e14","„Iraola bi mogao da ubedi Nika Vilijamsa da dođe u Liverpul“","neslaganje: Danilo=0"
