id,rubrika,naslov,filip,danilo,usaglaseno,obrazlozenje
sportklub_ded62e34a4,ABA liga,"(VIDEO) Navijači Zvezde se raspevali: Prvo Vućić, pa uprava!",1,0,,
sportklub_3151a14c66,ABA liga,Šeici planiraju veliki projekat: Dubai želi u Novi Sad!,1,0,,
sportklub_2ad3add409,ABA liga,Obradović govorio veoma kratko posle poraza u Ljubljani,0,1,,
sportklub_57925cc88c,ABA liga,Branko Lazić otkrio: Čuo sam da me je Dule baš želeo u Partizanu,1,0,,
sportklub_b7b47a10aa,ABA liga,Nema straha od Dubaija: Jako i hrabro do brejka u Zenici,0,1,,
sportklub_67a464974c,ABA liga,Džered Batler: Velikim delom krivica je moja,1,0,,
sportklub_13b75c650e,ACB,Čudesan preokret: Valensija slomila Bilbao!,1,0,,
sportklub_f31c76cae9,ACB,"Montero MVP, Valensija „počistila“ Huventud za novo finale",1,0,,
sportklub_d65ee1a349,Champions League,Kvarachelija najbolji igrač Lige šampiona!,1,0,,
sportklub_b72c1afebb,Conference League,Ponos radničkog Valjekasa u Lajpcigu piše istoriju,1,0,,
sportklub_c6500ac92d,Euroleague,Hezonja u crveno-belom? Grci otkrili istinu o šokantnom transferu,1,0,,
sportklub_2bc150826d,Euroleague,Olimpijakos je prvak Evrope! Kletva razbijena na omraženom mestu,1,0,,
sportklub_2f86e8b47e,Euroleague,Pamte li navijači pretnju bojkotom? Žalgiris „blindirao“ Tubelisa,1,0,,
sportklub_c0c437d10a,Euroleague,"SK u svlačionici Reala: Ljulj zna put, a šta očekuje Maledon?",1,0,,
sportklub_6ff093b875,Euroleague,NCAA spušta rampu za igrače iz Evrolige?,1,0,,
sportklub_1628b85452,Euroleague,SK u Atini: Vodimo vas u zemlju čuda sa Alisom,0,1,,
sportklub_bd83ca5174,Europa League,Kraljevski: Princ Vilijam uz pivo proslavio sa igračima Vile,1,0,,
sportklub_34d70f7e18,Ex-Yu lige,"Zlata vredan brejk Cibone u Zadru, uz velike planove…",1,0,,
sportklub_2e02944afd,FIBA World Cup,Deni Avdija sprečen igra za Izrael? Rat iziskuje posebnu dozvolu,1,0,,
sportklub_65fe4248cc,Formula 1,Ferari poslao jaku poruku u Monte Karlu,0,1,,
sportklub_629ad7683a,Fudbal - video,(VIDEO) Nije samo majstor za asistencije: Kakva golčina Bruna!,1,0,,
sportklub_0e72ec3fd5,Hokej,Uraganski preokret ostavio Karolinu u životu,1,0,,
sportklub_9ea387d940,Hokej,"Golden najtsi u finalu Zapada, Montreal na korak od finala Istoka",1,0,,
sportklub_0ece59a738,Moto GP,Akosta za SK: Mnogo još posla imamo,1,0,,
