id,naslov,filip,danilo,slaganje
sportklub_ed56704563,Anketa DPA: Nemcima nije do fudbala sa SP posle ponoći,0,1,NE
sportklub_b7b47a10aa,Nema straha od Dubaija: Jako i hrabro do brejka u Zenici,0,1,NE
sportklub_bf5d359e14,Alkaras: Ne želim da se pretvorim u roba tenisu,0,1,NE
sportklub_6ff093b875,NCAA spušta rampu za igrače iz Evrolige?,1,0,NE
sportklub_1f1343f287,Florentinu Perezu stigao odgovor od Barselone,0,1,NE
sportklub_a0e9b8dce8,Crvena zvezda ima novog trenera!,0,1,NE
sportklub_822afe7b40,Muratoglu: Potvrđena ahilova peta Janika Sinera,0,1,NE
sportklub_b1c4679534,Pogledajte kako su igrači Arsenala dočekali trenutak krunisanja,1,0,NE
sportklub_5cc0d6788e,Janik Siner šokantno ispao sa Rolan Garosa! Pozlilo mu je…,1,0,NE
sportklub_34d70f7e18,"Zlata vredan brejk Cibone u Zadru, uz velike planove…",1,0,NE
sportklub_b83fd9620a,Šou je počeo! Dva gola i tri direktna crvena na startu Mundijala,1,0,NE
sportklub_6919829f92,"Srušen jak transfer, Avdić mora na dugu pauzu",0,1,NE
sportklub_629ad7683a,(VIDEO) Nije samo majstor za asistencije: Kakva golčina Bruna!,1,0,NE
sportklub_ef0520b36c,"(VIDEO) Prekid i drama u Mostaru, Zrinjski osvojio Kup BIH!",1,0,NE
sportklub_160e7fe370,Četvorica u 61 hiljaditinki – Gevara tik ispred Salača do pola,1,0,NE
sportklub_4323e1836e,Jovanin Finiks konačno dobio,0,1,NE
sportklub_c8aa52dc09,"Nole, Hamad i pogled 1.453 kilometra od stadiona Filip Šatrije",0,1,NE
sportklub_9b0647a814,"„Dva najbolja tima su u finalu, domaći parket je prednost“",0,1,NE
sportklub_340b9312e3,Nije „mitsko biće“: Mesina stiže na finale u Loznicu,1,0,NE
sportklub_a9f1a639b1,"Prvi gol na Mundijalima, i to protiv Nemaca: Kurasao čini čuda!",1,0,NE
sportklub_c783dd1ffd,(VIDEO) Reč junaka: Mi smo jedna otporna grupa,0,1,NE
sportklub_1957fdcb03,"Zvezda dogovorila još jednog ofanzivca, plaća 3.000.000 €",0,1,NE
sportklub_9b0158caa6,Čuveni Španac dobio otkaz u Panatinaikosu,0,1,NE
sportklub_1628b85452,SK u Atini: Vodimo vas u zemlju čuda sa Alisom,0,1,NE
sportklub_f09123c8f1,Hal razmatra svoje opcije za direktan plasman u Premijer ligu,0,1,NE
sportklub_bc40e91398,(FOTO) Ovako izgleda kostur najvećeg Mundijala ikada,1,0,NE
sportklub_c6500ac92d,Hezonja u crveno-belom? Grci otkrili istinu o šokantnom transferu,1,0,NE
sportklub_2ad3add409,Obradović govorio veoma kratko posle poraza u Ljubljani,0,1,NE
sportklub_c0c437d10a,"SK u svlačionici Reala: Ljulj zna put, a šta očekuje Maledon?",1,0,NE
